IOS, Android,EN,CN,ES,FR,DE,IT,NL,AR,JP,KR
bc.push.sdcard_needformat_tip,,microSD card needs to be formatted for storage encryption.,SD卡需要被格式化，以为存储数据加密,La tarjeta microSD se tiene que formatear para la codificación de almacenamiento.,La carte microSD doit être formatée pour chiffrer les données.,Die microSD-Karte muss für die Speicherverschlüsselung formatiert werden.,La scheda microSD deve essere formattata per la crittografia dello spazio di archiviazione.,De microSD-kaart moet worden geformatteerd voor opslagversleuteling.,يجب تهيئة بطاقة microSD لتشفير التخزين.,,
bc.push.sdcard_format_fail_tip,,Failed to format microSD card.,格式化SD卡失败,Fallo al formatear la tarjeta microSD.,Le formatage de la carte microSD a échoué.,Die microSD-Karte konnte nicht formatiert werden.,Impossibile formattare la scheda MicroSD.,microSD-kaart formatteren mislukt.,فشلت تهيئة بطاقة microSD.,,
bc.push.motion_detected,,Motion detected.,检测到移动事件。,Se ha detectado movimiento.,Mouvement détecté.,Bewegung erkannt.,Rilevato movimento.,Beweging gedetecteerd.,تم اكتشاف حركة,,
bc.push.isopened,,is opened,开了,se ha abierto,est ouvert,wurde geöffnet,è aperto,is geopend,مفتوح,,
bc.push.sdcard_busy_tip,,microSD card is formatting.,SD卡正在格式化,La tarjeta microSD se está formateando.,Formatage de la carte microSD…,Die microSD-Karte wird formatiert.,La scheda microSD è in fase di formattazione.,De microSD-kaart wordt geformatteerd.,تتم تهيئة بطاقة microSD.,,
bc.push.someone_is_spotted,,Someone has been spotted.,检测到有人,Se ha detectado a alguien.,Une présence a été repérée.,Eine Person wurde entdeckt.,È stata rilevata una presenza.,Er is iemand gedetecteerd.,لقد تم رصد أحدهم.,誰かが見つかりました,누군가를 발견했습니다.
bc.push.is_showing_up,,is arriving.,来过,llega.,arrive.,nähert sich.,è in arrivo.,komt eraan.,قادم.,,
bc.push.yourcamera,,Your camera %@'s ,你的摄像头%@,Su cámara %@ ,L'élément %@ de votre caméra,Ihre Kamera %@,Il %@ della telecamera,De %@ van uw camera,الكاميرا الخاصة بك %@,,
bc.push.is_offline,,is offline,离线,está sin conexión,est hors connexion,ist offline,è offline,is offline,غير متصلة بالإنترنت,,
bc.push.sdcard_format_suc_tip,,microSD card formatted successfully.,SD卡格式化成功,Tarjeta microSD formateada correctamente.,Formatage réussi de la carte microSD.,Die microSD-Karte wurde formatiert.,Formattazione della scheda microSD completata.,De microSD-kaart is geformatteerd.,تمت تهيئة بطاقة microSD بنجاح.,microSDカードがフォーマットされました,microSD 카드가 성공적으로 포맷되었습니다.
